Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity,MinIntensity
1,0,0,30114.17421875,702.428157360579,28981.484375
2,1,0.6,30235.6551432292,705.225678866223,29099.255859375
3,2,1.2,30377.1384765625,707.855917258848,29237.228515625
4,3,1.8,30539.99609375,710.271911366821,29396.83984375
5,4,2.4,30725.47734375,712.426480318206,29579.404296875
6,5,3,30934.6162109375,714.277793383714,29786.005859375
7,6,3.6,31168.2744791667,715.784507190952,30017.568359375
8,7,4.2,31427.0600260417,716.909523377203,30274.75390625
9,8,4.8,31711.3675130208,717.620323679219,30558.001953125
10,9,5.4,32021.3093098958,717.88473593697,30867.4765625
11,10,6,32356.7575520833,717.677983211104,31203.087890625
