Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
0,136,128.413787841797,129.172409057617,136.413787841797,140.551727294922,142,141.172409057617,137.034484863281,132.896545410156,130,130,116.517242431641,107,107,114.86206817627,119,119.37931060791,126.965515136719,130,129.482757568359,126.034484863281,127.413787841797,130,130,127.24137878418,126.206893920898,129.655166625977,126.896553039551,123.137939453125,119,127.314941660563,8.78194298776718
0.6,142,133.724136352539,132.275848388672,136.413787841797,140.551727294922,142,142,142,133.206893920898,123.75862121582,119.620697021484,125.448280334473,130,130,126.724136352539,126.724136352539,130,130,127.931045532227,125,125,125,125,125,125,125,125,128.103454589844,130,130,130.082758839925,6.30912287585324
1.2,142,137.862060546875,133.724136352539,130.827590942383,139.103454589844,144.689651489258,147.172409057617,143.034484863281,142,140.75862121582,136.620697021484,136,136,136,132.068969726562,130,129.827590942383,126.379302978516,125,125,125,127.413787841797,131.034484863281,135.172409057617,132.689651489258,131.448272705078,135.586196899414,136,134.137939453125,130,134.418390401204,5.96056798249703
1.8,142,137.862060546875,136,136,136,138.689666748047,141.172409057617,137.034484863281,139.103454589844,142,142,134.965515136719,128.620681762695,125.172409057617,128.275863647461,130,130,130,130,129.482757568359,126.034484863281,127.413787841797,131.034484863281,135.172409057617,136,136,136,132.275863647461,126.586212158203,119,133.329884847005,5.7266282391132
2.4,142,137.862060546875,133.724136352539,129.655181884766,126.206893920898,127.24137878418,130.827575683594,134.965515136719,132.896545410156,128.965515136719,125.517242431641,121.482757568359,120.655166625977,124.793098449707,132.206893920898,133.931030273438,129.827590942383,126.379302978516,125,124.379318237305,120.24137878418,121.896545410156,125.86206817627,129.310348510742,127.24137878418,123.551719665527,119.413795471191,111.551727294922,107,107,126.052872212728,7.97501919683066
3,130,134.137939453125,133.724136352539,129.655181884766,126.206893920898,125,126.517242431641,134.103454589844,136,136,136,129.551727294922,125,125,128.275863647461,128.275863647461,124.793098449707,120.655166625977,119,119,119,121.896545410156,125,125,121.689659118652,120.448272705078,124.586204528809,113.827583312988,107,107,125.078161112467,7.51810399088197
3.6,130,126.551727294922,125,125.344825744629,128.793106079102,130,129.310333251953,125.86206817627,127.586212158203,131.24137878418,135.379318237305,129.551727294922,123.344818115234,119.206901550293,122.931037902832,125,125,125,125,126.137939453125,133.724136352539,138.896545410156,139.931030273438,131.655166625977,130,130,130,123.172416687012,119,119,127.720689646403,5.14255532167758
4.2,125,125,125,125.75862121582,133.344818115234,131.068969726562,122.517242431641,110.103446960449,113.206893920898,121.275863647461,128.862075805664,123.551727294922,119,119,111.13793182373,111.13793182373,119.206893920898,123.344825744629,122.517242431641,120.75862121582,132.482757568359,138.896545410156,139.931030273438,131.655166625977,127.24137878418,123.551719665527,119.413795471191,111.551727294922,110.724136352539,119,122.84137878418,8.00294845168867
4.8,119,126.586212158203,130,129.655181884766,126.206893920898,122.310348510742,116.517242431641,104.103454589844,110.310348510742,119,119,119,119,119,119,122.793106079102,129.827590942383,126.379302978516,117.551727294922,108.862075805664,121.275863647461,127.413787841797,129.137924194336,125.689659118652,121.689659118652,119,119,119,119,119,120.810345967611,6.1080219915681
5.4,119,123.137939453125,125,123.75862121582,111.344825744629,107,108.655174255371,116.931037902832,122.103439331055,125,125,121.482757568359,119,119,122.931037902832,126.724136352539,130,130,120.482765197754,108.862075805664,121.275863647461,127.413787841797,128.103454589844,120.517242431641,119,119,119,119,119,119,120.557471974691,5.83664499764741
