Sample,X,Y,Dist_px,Intensity
1,60,330,0,23788
2,61,330,1,23797
3,62,330,2,23847
4,63,330,3,23868
5,64,330,4,23813
6,65,330,5,23826
7,66,330,6,23788
8,67,330,7,23738
9,68,330,8,23747
10,69,330,9,23705
11,70,330,10,23730
12,71,330,11,23722
13,72,330,12,23684
14,73,330,13,23671
15,74,330,14,23659
16,75,330,15,23626
17,76,330,16,23642
18,77,330,17,23588
19,78,330,18,23517
20,79,330,19,23413
21,80,330,20,23267
22,81,330,21,23137
23,82,330,22,22937
24,83,330,23,22774
25,84,330,24,22678
26,85,330,25,22520
27,86,330,26,22411
28,87,330,27,22248
29,88,330,28,22111
30,89,330,29,22002
31,90,330,30,21994
32,91,330,31,21994
33,92,330,32,22023
34,93,330,33,22015
35,94,330,34,22023
36,95,330,35,22031
37,96,330,36,22006
38,97,330,37,22048
39,98,330,38,22115
40,99,330,39,22169
41,100,330,40,22311
42,101,330,41,22507
43,102,330,42,22782
44,103,330,43,23112
45,104,330,44,23392
46,105,330,45,23575
