Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity,BG_Poly,BG_Spline,BG_LinearInterp,Corr_Poly,Corr_Spline,Corr_LinearInterp
1,0,0,23461.1893554687,166.466976829174,23482.2881503729,23458.6882141625,23461.1893554687,-21.0987949042392,2.50114130622023,0
2,1,1.74,23451.0947265625,174.914362539079,23485.7727896322,23457.0720378601,23451.0947265625,-34.6780630696776,-5.9773112975854,0
3,2.00000000000001,3.48000000000001,23528.5368164062,203.176494850824,23493.0147245673,23526.807584358,23528.5368164062,35.5220918389023,1.72923204822655,0
4,3,5.22,23569.9263671875,252.535776450632,23504.0139551783,23563.9793141269,23569.9263671875,65.9124120092092,5.94705306057949,0
5,4,6.96,23513.3580078125,308.727996741249,23518.7704814652,23519.0904015494,23513.3580078125,-5.41247365266463,-5.73239373691467,0
6,5,8.7,23500.5578125,274.584758179427,23537.2843034279,23498.9862027445,23500.5578125,-36.726490927922,1.57160975550869,0
7,6,10.44,23547.6418945313,175.886020727957,23559.5554210666,23488.7344913747,23549.9117736816,-11.9135265352525,58.9074031565578,-2.26987915033533
8,7,12.18,23433.9682617188,93.4558306206456,23585.5838343811,23477.7811268915,23599.2657348633,-151.615572662264,-43.8128651726511,-165.297473144474
9,8,13.92,23077.02109375,137.047080258811,23615.3695433715,23467.9908856119,23648.6196960449,-538.348449621455,-390.969791861891,-571.598602294907
10,9,15.66,22999.0845703125,161.461213402116,23648.9125480377,23461.2285438533,23697.9736572266,-649.827977725225,-462.143973540831,-698.889086914049
11,10,17.4,22838.8946289063,111.85669397006,23686.2128483799,23459.358877933,23747.3276184082,-847.318219473578,-620.464249026743,-908.432989501885
12,11,19.14,22846.2315429688,170.553757940317,23727.2704443979,23464.2466641683,23796.6815795898,-881.038901429107,-618.015121199489,-950.450036621027
13,12,20.88,22892.9791992187,195.65087371113,23772.0853360918,23477.7566788763,23846.0355407715,-879.106136873113,-584.777479657645,-953.056341552761
14,13,22.62,22962.7580078125,153.42095492716,23820.6575234616,23501.7536983745,23895.3895019531,-857.8995156491,-538.99569056198,-932.631494140598
15,14,24.36,23115.558203125,154.264743006462,23872.9870065073,23538.10249898,23944.7434631347,-757.428803382263,-422.544295854961,-829.185260009734
16,15,26.1,23327.6419921875,213.091352215726,23929.0737852288,23588.6678570101,23994.0974243164,-601.431793041309,-261.025864822568,-666.455432128874
17,16,27.84,23503.2947265625,293.22729528892,23988.9178596262,23655.3145487821,24043.451385498,-485.623133063731,-152.019822219558,-540.15665893551
18,17,29.58,23724.9264648437,399.838253344644,24052.5192296995,23739.9073506132,24092.8053466797,-327.592764855835,-14.9808857695134,-367.878881835954
19,18,31.32,23893.2317382813,373.97953499267,24119.8778954487,23844.3110388208,24142.1593078613,-226.646157167415,48.920699460512,-248.927569579984
20,19,33.06,24130.2946289062,399.594310713343,24190.9938568738,23970.3903897221,24191.5132690429,-60.699227967576,159.904239184129,-61.2186401367253
21,20,34.8,24252.653125,314.850875087729,24265.8671139747,24120.0101796343,24240.8672302246,-13.2139889747159,132.642945365686,11.7858947754394
22,21,36.54,24290.2211914062,365.667745998545,24344.4976667515,24295.0351848748,24290.2211914062,-54.2764753453339,-4.81399346860417,0
23,22,38.28,24471.4946289062,275.93253047834,24426.8855152042,24459.2898320681,24471.4946289062,44.6091137019685,12.204796838083,0
24,23,40.02,24507.4423828125,214.080597576948,24513.0306593328,24520.8798930553,24507.4423828125,-5.58827652030595,-13.4375102428166,0
25,24,41.76,24638.2421875,152.522454597446,24602.9330991373,24629.4580762446,24638.2421875,35.3090883627374,8.78411125540151,0
26,25,43.5,24673.020703125,168.970712331171,24696.5928346176,24675.7974386431,24673.020703125,-23.5721314925977,-2.77673551809858,0
