Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,23794.9448242188,49.9263317253164
2,1,1.74,23788.7026367188,43.9313327493322
3,2,3.48,23799.0607421875,52.3907799330893
4,3,5.22,23803.7133789062,52.6946062386642
5,4,6.96,23806.1369140625,51.2480275075446
6,5,8.7,23809.566015625,55.9211891452127
7,6,10.44,23806.3551757812,69.5059282901622
8,7,12.18,23771.3896484375,44.4546785233648
9,8,13.92,23734.6131835937,34.8973186313426
10,9,15.66,23717.3997070313,18.4419063345296
11,10,17.4,23710.4131835938,31.9127473973091
12,11,19.14,23702.131640625,37.4302015003356
13,12,20.88,23684.4368164063,50.3911539437755
14,13,22.62,23663.5631835937,67.6185877188005
15,14,24.36,23644.5158203125,86.982841253262
16,15,26.1,23609.60546875,74.9734514731107
17,16,27.84,23576.9315429687,73.1153943944483
18,17,29.58,23531.9186523437,74.1880135408096
19,18,31.32,23481.2130859375,84.0452012028796
20,19,33.06,23387.2290039062,87.8498227015756
21,20,34.8,23293.4551757813,100.247275778419
22,21,36.54,23156.866015625,112.053462147582
23,22,38.28,22987.7236328125,134.141250072034
24,23,40.02,22801.0655273438,97.8786168117826
25,24,41.76,22629.637109375,86.5132047396524
26,25,43.5,22463.4969726562,86.0029889862592
27,26,45.24,22337.834375,89.8808776631305
28,27,46.98,22205.3369140625,74.065672335624
29,28,48.72,22109.6922851562,61.5263890872339
30,29,50.46,22036.105078125,58.5783000210545
31,30,52.2,22010.1709960938,59.8021797926933
32,31,53.94,21992.8708007812,38.6663945711045
33,32,55.68,21973.2026367188,52.8701028235065
34,33,57.42,21962.97109375,69.0557842410886
35,34,59.16,21967.0263671875,76.5602887895751
36,35,60.9,21994.7840820312,81.140049765352
37,36,62.64,22050.8237304688,99.9366938265708
38,37,64.38,22104.6051757812,118.379682104566
39,38,66.12,22201.6262695313,154.264895855186
40,39,67.86,22281.8342773438,169.114861638758
41,40,69.6,22410.2418945312,188.540713524476
42,41,71.34,22597.4918945312,194.394977891545
43,42,73.08,22852.7422851563,197.621118404588
44,43,74.82,23136.4764648437,191.772011566915
45,44,76.56,23387.6051757812,174.058957071546
46,45,78.3,23537.2872070313,167.38505581327
