Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,22826.3288085937,35.6625396181358
2,1.00000000000001,1.74000000000002,22819.6313476562,34.5422661125664
3,2,3.48,22802.6290039063,52.532692681186
4,3,5.22,22783.8525390625,69.3418133615125
5,3.99999999999999,6.95999999999998,22768.2052734375,93.3439218892012
6,5,8.7,22738.5078125,81.8954880420223
7,6,10.44,22730.8947265625,85.0050490586911
8,7,12.18,22740.0580078125,82.1088572747536
9,8,13.92,22758.5181640625,75.691742558181
10,9,15.66,22764.039453125,68.765706732273
11,10,17.4,22766.197265625,62.8657405749362
12,11,19.14,22747.5236328125,71.3586575564185
13,12,20.88,22713.897265625,89.8058616776641
14,13,22.62,22671.3763671875,89.4629007230481
15,14,24.36,22627.0470703125,109.004550844179
16,15,26.1,22599.5157226563,115.200477762924
17,16,27.84,22603.4579101562,128.734859675294
18,17,29.58,22606.9265625,122.37395611653
19,18,31.32,22628.0262695312,121.462989313361
20,19,33.06,22641.1999023437,115.806256839099
21,20,34.8,22639.5053710938,113.37695918197
22,21,36.54,22620.8919921875,96.4332416313412
23,22,38.28,22592.381640625,98.6607117374337
24,23,40.02,22566.4948242187,106.472137428446
25,24,41.76,22545.6473632812,113.015767452093
26,25,43.5,22532.8604492188,110.31050603791
27,26,45.24,22530.5841796875,104.856067362873
28,27,46.98,22533.2211914062,99.5571784174833
29,28,48.72,22529.8368164062,104.258447916467
30,29,50.46,22504.5340820312,95.645186217257
31,30,52.2,22466.1157226562,98.5193220829309
32,31,53.94,22439.1079101562,89.6846675700473
33,32,55.68,22419.7970703125,83.4461519396904
34,33,57.42,22397.5313476563,79.2401886714605
35,34,59.16,22360.8392578125,79.0597580432238
36,35,60.9,22308.365625,83.4492001679862
37,36,62.64,22229.439453125,91.8792068780304
38,37,64.38,22145.07890625,84.0304527065546
39,38,66.12,22048.7422851563,94.0351579548161
40,39,67.86,21948.39765625,103.309296243794
41,40,69.6,21876.6048828125,113.312625539716
42,41,71.34,21782.147265625,120.718147828642
43,42,73.08,21691.2416992188,122.301707246356
44,43,74.82,21562.7526367187,129.686067659566
45,44,76.56,21392.860546875,135.302546369607
46,45,78.3,21227.4368164063,116.621903369443
47,46,80.04,21049.85,90.8928410227025
48,47,81.78,20889.8290039062,68.7247743094135
49,48,83.52,20762.689453125,44.8870581832326
50,49,85.26,20666.0103515625,44.1469353173273
51,50,87,20597.1762695312,45.5072322671805
52,51,88.74,20528.4944335938,53.7709042945227
53,52,90.48,20478.0237304688,64.1425431953513
54,53,92.22,20438.7682617187,57.4328984104251
55,54,93.96,20398.0684570313,49.8507887022863
56,55,95.7,20353.402734375,41.9384749693945
57,56,97.44,20313.618359375,52.1067212276683
58,57,99.18,20264.7185546875,50.4064341064859
59,58,100.92,20225.9815429688,56.6211138357388
60,59,102.66,20192.3551757812,66.84733124079
61,60,104.4,20176.2763671875,77.7433375384735
62,61,106.14,20158.6024414062,60.2633497864209
63,62,107.88,20141.2998046875,55.0653375621099
64,63,109.62,20134.397265625,48.8040422328832
65,64,111.36,20139.384375,44.6124504159623
66,65,113.1,20156.0026367187,45.5924936782204
67,66,114.84,20184.9341796875,45.3505836253137
68,67,116.58,20210.2076171875,46.0213784665434
69,68,118.32,20240.1,52.8395012078509
70,69,120.06,20272.98671875,38.3348396362638
71,70,121.8,20305.102734375,35.0918453859839
72,71,123.54,20343.9920898437,27.1837495203238
73,72,125.28,20400.7185546875,28.428521881438
74,73,127.02,20473.6129882812,26.0796879526312
75,74,128.76,20568.0475585937,31.9536865736393
76,75,130.5,20657.3763671875,40.5305061934929
77,76,132.24,20776.926171875,66.1353369012506
78,77,133.98,20883.3944335937,93.2584211998724
79,78,135.72,21018.4657226562,114.871701342514
80,79,137.46,21211.6630859375,113.250003714975
81,80,139.2,21440.0318359375,85.3929247205818
82,81,140.94,21707.7029296875,75.5278657615441
83,82,142.68,21943.7208007813,87.3153540786602
84,83,144.42,22122.7341796875,75.9275954697071
85,84,146.16,22247.8868164063,53.7447656423418
86,85,147.9,22321.9052734375,34.3888014338633
