Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,0.234873969107866,0.000960830342762619
2,1,1.74,0.234773522615433,0.000964209173084768
3,1.99999999999999,3.47999999999999,0.234673070907593,0.000967591003254308
4,3,5.22,0.234575928747654,0.000971039657378886
5,4,6.96,0.234490516036749,0.000974717920816925
6,5,8.7,0.23440510109067,0.000978398978319413
7,6,10.44,0.234319688379765,0.000982079189968456
8,7,12.18,0.234234274178743,0.000985761360261041
9,8,13.92,0.234148856252432,0.000989435202708696
10,9,15.66,0.234076125174761,0.000993355521626563
11,10,17.4,0.234006971120834,0.000997341449473461
12,11,19.14,0.233937811106443,0.00100132520877521
13,12,20.88,0.233868662267923,0.00100530891945945
14,13,22.62,0.233799503743649,0.00100929369442128
15,14,24.36,0.233736225217581,0.0010133854893287
16,15,26.1,0.233684327453375,0.00101769074864405
17,16,27.84,0.23363244086504,0.00102198686592523
18,17,29.58,0.233580555766821,0.00102628772571789
19,18,31.32,0.233528663218021,0.00103058888300838
20,19,33.06,0.233476777374744,0.00103489021144257
21,20,34.8,0.233441101759672,0.00103948268922886
22,21,36.54,0.233407232165337,0.00104410320313382
23,22,38.28,0.233373357355595,0.00104873202195945
24,23,40.02,0.233339492976666,0.00105335819451799
25,24,41.76,0.233305618166924,0.00105798002477428
26,25,43.5,0.233280252665281,0.00106276199282675
27,26,45.24,0.233264869451523,0.00106771584825299
28,27,46.98,0.233249486237764,0.00107267826683945
29,28,48.72,0.233234098553658,0.00107763054430978
30,29,50.46,0.233218714594841,0.00108258643007373
31,30,52.2,0.23320370465517,0.00108755031288555
32,31,53.94,0.23320696875453,0.00109284641781819
33,32,55.68,0.233210235089064,0.00109814184343567
34,33,57.42,0.233213503658772,0.00110344047623158
35,34,59.16,0.233216775208712,0.00110873884506752
36,35,60.9,0.233220042288303,0.00111403085336404
37,36,62.64,0.233234030753374,0.0011195243901899
38,37,64.38,0.233255787938833,0.00112516433155428
39,38,66.12,0.233277544379234,0.00113079787847757
40,39,67.86,0.233299302309752,0.0011364338976109
41,40,69.6,0.233321055024862,0.00114207062995488
42,41,71.34,0.233345331996679,0.00114775523513424
43,42,73.08,0.23338508605957,0.00115372711130208
44,43,74.82,0.233424840122461,0.00115971313086089
45,44,76.56,0.233464592695236,0.00116569043392859
46,45,78.3,0.233504346013069,0.00117166438481421
47,46,80.04,0.233544098585844,0.00117764386694684
48,47,81.78,0.233595868945122,0.00118385048170387
49,48,83.52,0.23365279212594,0.00119015904437539
50,49,85.26,0.233709714561701,0.00119646639216995
51,50,87,0.233766635507345,0.00120277936014995
