Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
0,23943,23867.10546875,23848.7890625,23822.10546875,23789.68359375,23812.841796875,23787.68359375,23813,23799.10546875,23783.7890625,23781.68359375,23756.31640625,23763.474609375,23764.369140625,23789.947265625,23807.31640625,23760.158203125,23751,23723.52734375,23734,23794.9448242188,49.9263317253164
1.74,23880,23853.685546875,23834,23859.31640625,23812.15625,23799.26171875,23779.89453125,23798.47265625,23795.52734375,23792.263671875,23810.158203125,23795.3671875,23767.7890625,23743.158203125,23736.947265625,23748.263671875,23740.052734375,23734.421875,23746.31640625,23747,23788.7026367188,43.9313327493322
3.48,23863,23854.580078125,23851.31640625,23882.7890625,23846.158203125,23807.47265625,23792,23796.7890625,23799.52734375,23818.052734375,23855.421875,23841.578125,23791.89453125,23757.6328125,23725.947265625,23724.10546875,23718.421875,23721.474609375,23757.052734375,23776,23799.0607421875,52.3907799330893
5.22,23884,23838.89453125,23854.578125,23851.630859375,23848.89453125,23821.52734375,23810.263671875,23817.7890625,23820.52734375,23839.052734375,23854.84375,23840.10546875,23803.89453125,23778.52734375,23760.525390625,23751.84375,23712.263671875,23705,23721.10546875,23759,23803.7133789062,52.6946062386642
6.96,23872,23868.685546875,23813.419921875,23851,23843.841796875,23818.31640625,23829.89453125,23835.947265625,23836.3671875,23839.31640625,23826.158203125,23838,23806.421875,23799.630859375,23799.10546875,23753.580078125,23749.578125,23683.89453125,23719.580078125,23738,23806.1369140625,51.2480275075446
8.7,23893,23877.369140625,23831.3671875,23841.580078125,23830.419921875,23815.94921875,23840.7890625,23877.7890625,23834.6328125,23828.10546875,23819.158203125,23815.31640625,23809.421875,23805,23833,23773.525390625,23737.31640625,23682.10546875,23703.474609375,23742,23809.566015625,55.9211891452127
10.44,23951,23857.263671875,23821.158203125,23781.263671875,23788.841796875,23803.052734375,23857.68359375,23901.26171875,23860.2109375,23805.89453125,23770.6328125,23764.841796875,23797.89453125,23839,23866.47265625,23835.68359375,23755.263671875,23708.89453125,23672.7890625,23688,23806.3551757812,69.5059282901622
12.18,23872,23822.89453125,23767,23766.369140625,23762.15625,23766.630859375,23797.158203125,23811.10546875,23795.52734375,23764.31640625,23751.158203125,23768.2109375,23782.10546875,23799.630859375,23799.10546875,23777.263671875,23750.94921875,23690.6328125,23691.578125,23692,23771.3896484375,44.4546785233648
13.92,23822,23747.2109375,23748.7890625,23730.6328125,23738.419921875,23751.578125,23746.10546875,23757.9453125,23745.73828125,23733.84375,23740.15625,23729.369140625,23741.7890625,23748.26171875,23747,23750.158203125,23691.2109375,23690.73828125,23668.31640625,23663,23734.6131835937,34.8973186313426
15.66,23726,23712.369140625,23705.841796875,23747,23747,23743.578125,23728.630859375,23723.26171875,23732.31640625,23718.16015625,23720.26171875,23717.2109375,23712.578125,23720.421875,23709.47265625,23721.578125,23704.947265625,23682.208984375,23695.15625,23680,23717.3997070313,18.4419063345296
