Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
0,22803,22815.7890625,22816.314453125,22854.419921875,22863.68359375,22867.89453125,22856.630859375,22847.947265625,22847.94921875,22852.84375,22877.052734375,22870.2109375,22831.47265625,22804.369140625,22774.68359375,22755.736328125,22777.419921875,22790.052734375,22807.10546875,22812,22826.3288085937,35.6625396181358
1.74000000000002,22841,22803.47265625,22812.419921875,22820.580078125,22851.10546875,22874,22876.841796875,22881.15625,22859.052734375,22830.6328125,22821.68359375,22813.68359375,22806.31640625,22794.7890625,22784.3671875,22775.68359375,22763.89453125,22791.525390625,22787.421875,22803,22819.6313476562,34.5422661125664
3.48,22849,22833.263671875,22769.47265625,22802.947265625,22829.263671875,22862.158203125,22901.841796875,22894,22866.6328125,22820.31640625,22782.947265625,22783.47265625,22772.947265625,22781.630859375,22771.52734375,22739.158203125,22736.2109375,22714.6328125,22763.15625,22778,22802.6290039063,52.532692681186
5.22,22874,22825.580078125,22780.31640625,22771.2109375,22806.998046875,22852.263671875,22905.736328125,22908.734375,22852.947265625,22802.2109375,22760.630859375,22737.47265625,22745.263671875,22767.369140625,22771.052734375,22736.841796875,22682.525390625,22670.421875,22697.474609375,22728,22783.8525390625,69.3418133615125
6.95999999999998,22937,22854.89453125,22795.947265625,22767.947265625,22771.10546875,22841.630859375,22901.421875,22914.7890625,22855.2109375,22765.16015625,22705.68359375,22691.841796875,22723,22747.947265625,22765.52734375,22747.10546875,22684.578125,22640,22612.314453125,22641,22768.2052734375,93.3439218892012
8.7,22891,22850.6328125,22805.7890625,22782.263671875,22762.263671875,22790.947265625,22821.3671875,22831.15625,22806.94921875,22748.6328125,22702.841796875,22681.158203125,22687.26171875,22703.2109375,22698.15625,22684.736328125,22668.52734375,22621.26171875,22616,22616,22738.5078125,81.8954880420223
10.44,22904,22841,22833.525390625,22769.3671875,22772.103515625,22789.474609375,22778.10546875,22792.89453125,22773.10546875,22740.0546875,22724.7890625,22693.158203125,22702.421875,22700.369140625,22688.369140625,22689.947265625,22631.2109375,22616.419921875,22587.578125,22590,22730.8947265625,85.0050490586911
12.18,22904,22884.369140625,22835.2109375,22819.3671875,22815.15625,22803.052734375,22770.10546875,22751.525390625,22743.947265625,22719,22714.26171875,22713.52734375,22705.52734375,22701.52734375,22689.421875,22693.10546875,22649.52734375,22636.52734375,22636,22616,22740.0580078125,82.1088572747536
13.92,22912,22897.26171875,22864.630859375,22849.05078125,22821.89453125,22791.369140625,22759.578125,22730.736328125,22727.158203125,22742.685546875,22764.263671875,22758.89453125,22739.947265625,22725.369140625,22704.525390625,22702.158203125,22664.26171875,22675.7890625,22681.7890625,22657,22758.5181640625,75.691742558181
15.66,22933,22877.7890625,22869.68359375,22830.314453125,22811.578125,22791.580078125,22778.2109375,22760.7890625,22737.84375,22728,22719.578125,22709.10546875,22731,22747.736328125,22740.15625,22740.158203125,22698.89453125,22701.73828125,22691.6328125,22682,22764.039453125,68.765706732273
17.4,22908,22894.419921875,22812.841796875,22818.736328125,22808.419921875,22800.52734375,22811.89453125,22783.10546875,22749,22715.369140625,22686.947265625,22697.31640625,22723,22762.31640625,22758.52734375,22733.26171875,22735.578125,22703,22722.68359375,22699,22766.197265625,62.8657405749362
