Sample,Dist_px,Dist_um,MeanIntensity_Cap,StdIntensity_Cap,MeanIntensity_Bg,StdIntensity_Bg
0,0,0.0,40276.266,684.1741,39258.13594921313,643.2898652755607
1,1,0.6,40260.773,719.7411,39215.24369882541,641.5356214771681
2,2,1.2,39973.37,757.98126,39173.193256414714,639.4847601590103
3,3,1.7999999999999998,39718.234,853.6312,39132.5732683271,637.1248904361591
4,4,2.4,39202.727,1008.5332,39093.98483006764,634.44795440576
5,5,3.0,38738.91,1267.0631,39058.03409440685,631.4508818210949
6,6,3.5999999999999996,38061.637,1655.9147,39025.326605059745,628.1361281053915
7,7,4.2,37496.32,1984.3301,38996.45877315583,624.5117881155912
8,8,4.8,36787.945,2052.918,38972.01320307376,620.5919735990599
9,9,5.3999999999999995,36220.293,1744.3373,38952.54990060524,616.3964353744911
10,10,6.0,35796.332,1212.1412,38938.600398040995,611.9511091105829
11,11,6.6,35747.867,699.05615,38930.65603973322,607.2872326850278
12,12,7.199999999999999,35773.105,380.56924,38929.163370504895,602.4414558630216
13,13,7.8,36094.465,679.0679,38934.51596187605,597.4549361303276
14,14,8.4,36506.375,978.9928,38947.05124547868,592.3733555617753
15,15,9.0,37146.727,1019.86725,38967.03975454946,587.2458554499577
