Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,133.020690409342,3.52614378923318
2,1,0.6,132.970114898682,2.98659335250832
3,2,1.2,132.304597473145,2.42276494744869
4,3,1.8,131.855172220866,2.06724951124862
5,4,2.4,131.716091918945,1.7549846247631
6,5,3,132.433331807454,1.67623693860105
7,6,3.6,134.277011617025,1.65570439522759
8,7,4.2,137.226435343424,1.60442120609307
9,8,4.8,140.574711608887,1.87633438671899
10,9,5.4,143.089655558268,1.44588436318262
11,10,6,144.759770202637,1.10687929539579
12,11,6.6,146.234482828776,0.774844412007898
13,12,7.2,147.132184346517,0.648098912318122
14,13,7.8,147.418390401204,0.622188942941396
15,14,8.4,147.743678792318,0.771838638918668
16,15,9,148.511494954427,0.641613226701465
17,16,9.6,149.096551513672,0.475345373973761
18,17,10.2,149.666666666667,0.69074432999675
19,18,10.8,149.80689646403,0.6316648586934
20,19,11.4,150.187356567383,0.637161963644768
21,20,12,150.565518188477,0.689748866088289
